01_P_L1_1, 690.6216985772284
01_P_L1_2, 587.075477242074
01_P_L2_1, 417.4486418963359
01_P_L2_2, 447.80202637015833
01_P_L3_1, 303.8251389789489
01_P_L3_2, 359.36478011161967
01_P_L4_1, 370.7850833477642
01_P_L4_2, 316.2779315305125
03_A_L1_1, 473.01406975138633
03_A_L1_2, 364.17562132341226
03_A_L2_1, 412.6325305280719
03_A_L2_2, 541.8995953401072
03_A_L3_1, 464.9442300757048
03_A_L3_2, 291.24651464061725
03_A_L4_1, 115.52552426358866
03_A_L4_2, 323.4910237863495
04_Y_L1_1, 486.8651101868615
04_Y_L1_2, 505.37926360556514
04_Y_L2_1, 425.4852979990398
04_Y_L2_2, 180.66921208880046
04_Y_L3_1, 245.80153128499435
04_Y_L3_2, 203.9792493095955
04_Y_L4_1, 350.0181490356536
04_Y_L4_2, 278.4413338078259
05_J_L1(A)_1, 0.0
05_J_L1(A)_2, 0.0
05_J_L2_1, 222.37053313054037
05_J_L2_2, 303.6261784426936
05_J_L3_1, 175.15234971162843
05_J_L3_2, 224.40854321940833
05_J_L4_1, 211.63430541800494
05_J_L4_2, 238.77484945781057
06_C_L1_1, 655.716888392029
06_C_L2_1, 488.20977993309737
06_C_L2_2, 349.5603433747495
06_C_L3_1, 249.283495998428
06_C_L3_2, 238.09112674843416
06_C_L4_1, 265.697959517606
06_C_L4_2, 218.23518302440542
07_L_L1(A)_1, 0.0
07_L_L1(A)_2, 0.0
07_L_L2_1, 515.2759473941758
07_L_L2_2, 391.2164569942295
07_L_L3_1, 341.87163658778957
07_L_L3_2, 342.137170665254
07_L_L4_1, 349.19399355583494
07_L_L4_2, 309.97192525735824
08_D_L1_1, 669.8861973423644
08_D_L1_2, 645.4292859633088
08_D_L2_1, 344.30724075322655
08_D_L2_2, 297.8254783549177
08_D_L3_1, 219.22312771023297
08_D_L3_2, 103.17653371921723
08_D_L4_1, 411.6764630530631
08_D_L4_2, 360.4534701306512
10_E_L1_1, 415.4388816763337
10_E_L1_2, 291.96972901185325
10_E_L2_1, 263.45642617593853
10_E_L2_2, 237.0308463780045
10_E_L3_1, 162.9592949273677
10_E_L3_2, 119.99067640073916
10_E_L4_1, 282.7118095843534
10_E_L4_2, 243.1693179075354
11_T_L1(A)_1, 0.0
11_T_L1(A)_2, 0.0
11_T_L2_1, 289.91495341354965
11_T_L2_2, 323.9599092253984
11_T_L3_1, 0.0
11_T_L3_2, 185.21531134709508
12_N_L1_1, 308.2318581008019
12_N_L1_2, 194.82091292621382
12_N_L2_1, 332.9103114672828
12_N_L2_2, 454.255540378251
12_N_L3_1, 236.99739586859613
12_N_L3_2, 181.51502093563084
12_N_L4_1, 292.9155425631478
13_E_L1_1, 691.6933842774027
13_E_L1_2, 563.778742489167
13_E_L2_1, 655.50116188433
13_E_L2_2, 498.27721325883437
13_E_L3_1, 601.7800537680739
13_E_L3_2, 393.8088785080199
13_E_L4_1, 575.3049769500745
13_E_L4_2, 460.74804637661896
14_R_L1_1, 310.59932541247616
14_R_L1_2, 387.40368253972173
14_R_L2_1, 344.9596232319798
14_R_L2_2, 635.6957174926034
14_R_L3_1, 116.07744485910926
14_R_L3_2, 232.7006704767028
14_R_L4_1, 206.46462699171164
14_R_L4_2, 280.1360317972006
15_R_L1_1, 691.8266092482819
15_R_L1_2, 637.5848830332253
15_R_L2_1, 586.5305966573858
15_R_L2_2, 611.7977947297836
15_R_L3_1, 268.7520171271362
15_R_L3_2, 201.17586161581323
15_R_L4_1, 305.58362497452487
15_R_L4_2, 285.5217234550144
16_M_L1_1, 758.2342989570827
16_M_L1_2, 0.0
16_M_L2_1, 720.9059841905671
16_M_L2_2, 482.86709155075295
16_M_L3_1, 259.88639481781684
16_M_L3_2, 346.57454179274794
16_M_L4_1, 252.17333964558284
16_M_L4_2, 177.21880213229792
17_S_L1_1, 576.0344824444757
17_S_L1_2, 484.8948501484687
17_S_L2_1, 686.6125254213812
17_S_L2_2, 583.0925556215487
17_S_L3_1, 444.0078968631036
17_S_L3_2, 314.2492750328349
17_S_L4_1, 296.4704047066415
